BARCODE;NAMEKH;NAMEEN;NOTE;COST;VENDORID
8858994453324;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 01;Face powder #01  Sivanna;N/A;3.1666;3
8858994453362;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 05;Face powder #05  Sivanna;N/A;3.1666;3
8858994453355;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 04;Face powder #04  Sivanna;N/A;3.1666;3
8851932398640;សាប៊ូទឹកដុសខ្លួនជំរុះ  កោសិកាស្បែកចាស់  ;Lux body wash  Exfoliating Shampoo;450 ml;3.8333;3
8851932398633;សាប៊ូទឹកដុសខ្លួនទឹកឃ្មុំ  ជំនួយស្បែករលោង;Lux Honey Body Soap  Smooth skin aid;450 ml;3.8333;3
8851932398619;សាប៊ូទឹកដុសខ្លួន;Lux body wash;450 ml;3.8333;3
8851932398626;សាប៊ូទឹកដុសខ្លួនក្លិន  ផ្កាឈូករ័ត្ន;Lux body wash;450 ml;3.8333;3
8851932408905;សាប៊ូទឹកដុសខ្លួនក្លិនផ្កា;Lux body wash;450 ml;3.8333;3
8850434020158;ម៉ាស្ការ៉ាផាត់រោមភ្នែក;MAYBELLINE mascara;9.2​ g;2.6666;3
8858910623961;គូល័រផាត់ថ្ពាល់;ODBO makeup color;15 g;3.0000;3
8858910623954;គូល័រផាត់ថ្ពាល់;ODBO makeup color;15 g;3.0000;3
8850722663746;ម្សៅផាត់មុខជំនួយស្បែកស  និងមានសំណើម  AR aron;Whitening Facial Powder  And moist;13 g;1.5833;3
8850722092928;ហ៊្វូមលាងមុខទឹកដោះគោ;Milky Cleansing Foam;190 g;1.4166;3
8850722093352;ហ្វូមលាងមុខជំនួយស្បែក  ;AR facial wash;190 g;1.4166;3
8850722046891;សេរ៉ូមលាបដងខ្លួន  ជំនួយស្បែកមានសំណើម  ;AR body serum;600 ml;2.3333;3
8850722045726;ឡេលាបដងខ្លួនជំនួយ   ស្បែកមានសំណើម  ;AR moisturizing lotion;600 ml;2.3333;3
8850722114934;គ្រីមវីតាមីនលាបមុខ;AR armpit cream;10 g;1.2500;3
8859191335796;គ្រីមលាបមុខជំនួយស្បែក  ;Gold 24K facial cream;15 g;5.0000;3
8850722301822;សាប៊ូទឹកដុសខ្លួន  ;AR perfume body wash;400 ml;1.9505;3
6001085724366;ឡេលាបដងខ្លួនជំនួយស្បែក  ;Vaseline body lotion;400 ml;2.5000;3
8851427013317;គ្រីមខាត់ស្បែក;Carebeau tanaka cream;100 g;1.4166;3
8851932221184;ឡេលាបដងខ្លួនជំនួយស្បែក;Citra hand&body lotion;400 ml;3.0000;3
8851932420099;សេរ៉ូមវីតាមីនលាបស្បែក;Vitamin Serum;12 x 380 ml;2.3672;3
8851932420075;សេរ៉ូមលាបស្បែក  ក្លិនក្រេបបឺរី;Skin Serum  Cranberry scent;12 x 380 ml;2.3672;3
8851932420082;សេរ៉ូមវីតាមីនលាបស្បែក;Vitamin Serum;12 x 380 ml;2.3672;3
8858718624535;គ្រីមលាបមុខ  ធ្វើអោយមុខសរលោង;Face Cream  Smooth face;N/A;4.2839;3
8850722043616;គ្រីមលាបមុខនិងដងខ្លួន  ជំនួយស្បែកមានសំណើម;Moisturising face and body cream;12 x 200 ml;1.1172;3
8850185000331;សំឡីជូតរបួស;Cotton swab;48 x 50 g;1.1172;3
8850029850726;ក្រែមបំប៉នបបូរមាត់;Lip balm;4.8 g;2.9505;3
8850029019253;ក្រែមលាបបបូរមាត់;Lip balm;4.8 g;2.9505;3
8850029028866;ក្រែមលាបបបូរមាត់;Lip balm;4.8 g;2.9505;3
8850360025937;សាប៊ូដុសខ្លួនក្លិនក្រអូប;Fragrance body soap;500 ml;2.6172;3
8850360033406;សាប៊ូដុសខ្លួនក្លិនក្រអូប;Fragrance body soap;500 ml;2.6172;3
8850360032119;សាប៊ូដុសខ្លួនក្លិនប្រទាល;Fragrance body soap;500 ml;2.6172;3
8850360025838;សាប៊ូទឹកដុសខ្លួន  ក្លិនផ្កាសាគូរ៉ា;Body Shampoo  Sakura scent;500 ml;2.6172;3
8850360032133;សាប៊ូទឹកដុសខ្លួនក្លិនក្រអូប;Scented body wash;500 ml;2.6172;3
9300807056400;ថ្នាំដុសធ្មេញ;Toothpaste;100 g;4.5339;3
9300807032992;ថ្នាំដុសធ្មេញបំបាត់ក្លិនមាត់  T-120;T-120 Toothpaste;120 g;4.5339;3
40400499971984;ជែលលាងដៃ;ALCOHOL hand gel;500 ml;2.0000;3
8850029026350;ទឹកជូតមុខ;Nivea micellar water;125 ml;2.8333;3
8850029031767;ទឹកជូតមុខ;Nivea micellar water;125 ml;2.8333;3
8859174500326;កាហ្វេសំរករាង;CHAME coffee;150 g;3.2500;3
8859174500852;កាហ្វេសំរករាងកូឡាជេន;CHAME coffee;150 g;3.2500;3
8859174500845;កាហ្វេសំរករាង  រសជាតិយ៉ិនស៊ិន;Slimming coffee  Ginseng flavor;150 g;3.2500;3
8858842079737;គ្រីមលាប បបូរមាត់  CATHY DOLL#03;Lipstick  CATHY DOLL#03  (oh orange);2.4 g;1.6666;3
8858842079782;គ្រីមលាប បបូរមាត់  CATHY DOLL #08  (sassy red);Lipstick  CATHY DOLL #08  (sassy red);2.4 g;1.6666;3
