3/12/2018,630.43,313.02
3/13/2018,692.36,341.52
3/14/2018,1130.95,260.17
3/15/2018,1024.07,201.02
3/16/2018,863.21,196.94
3/17/2018,911.26,383.71
3/18/2018,1223.34,629.1
3/19/2018,828.57,311.75
3/20/2018,798.11,179.51
3/21/2018,1104.18,318.66
3/22/2018,693.27,193.23
3/23/2018,1646.7,1635.79
3/24/2018,1311.83,591.09
3/25/2018,1261.07,414.03
3/26/2018,960.93,324.93
3/27/2018,719.54,169.14
3/28/2018,1438.02,833.11
3/29/2018,807.87,261.03
3/30/2018,838.8,315.52
3/31/2018,1073.41,784.6
4/1/2018,1166.89,426.5
4/2/2018,1261.25,85.47
4/3/2018,964.75,493.29
4/4/2018,1389.04,868.36
4/5/2018,802.94,248.19
4/6/2018,942.99,89.15
4/7/2018,1188.27,521.35
4/8/2018,1605.78,490.31
4/9/2018,798.07,180.38
4/10/2018,1062.52,293.25
4/11/2018,1583.01,605.35
4/12/2018,1709.42,362.19
4/13/2018,1867.18,617.04
4/14/2018,1292.89,416.11
4/15/2018,957.66,707.3
4/16/2018,732.33,22.19
4/17/2018,1070.34,370.17
4/18/2018,1131.69,381.6
4/19/2018,660.4,40.52
4/20/2018,823.42,117.26
4/21/2018,918.6,423.67
4/22/2018,1036.69,811.82
4/23/2018,612.35,116.46
4/24/2018,848.05,260.7
4/25/2018,1272.33,442.97
4/26/2018,749.82,139.78
4/27/2018,705.74,322.6
4/28/2018,1104.78,572.34
4/29/2018,1273.76,773.21
4/30/2018,849.74,231.98
5/1/2018,1084,249.77
5/2/2018,1198.98,550.37
5/3/2018,1081.76,381.33
5/4/2018,782.94,235.46
5/5/2018,1108.95,713.44
5/6/2018,1279.87,376.57
5/7/2018,747.13,236.14
5/8/2018,761.59,292.79
5/9/2018,1357.16,573.81
5/10/2018,913.41,169.49
5/11/2018,912.21,351.43
5/12/2018,1334.24,798.01
5/13/2018,975.23,310.96
5/14/2018,1046.95,381.29
5/15/2018,1094.91,508.56
5/16/2018,1384.14,437.95
5/17/2018,692.71,104.32
5/18/2018,779.07,138.67
5/19/2018,1141.25,696.87
5/20/2018,1183.05,379.3
5/21/2018,873.74,294.03
5/22/2018,702.5,109.37
5/23/2018,1315.96,521.43
5/24/2018,717.98,221.34
5/25/2018,765.35,131.96
5/26/2018,1243.56,546.59
5/27/2018,1507.44,939.76
5/28/2018,929.16,190.73
5/29/2018,793.97,126.36
5/30/2018,1516.16,1327.02
5/31/2018,751.91,162.68
6/1/2018,1247.47,667.93
6/2/2018,1394.93,334.25
6/3/2018,1453.72,459.73
6/4/2018,1307.17,499.46
6/5/2018,956.78,45.28
6/6/2018,1923.67,986.21
6/7/2018,1265.11,267.76
6/8/2018,1358.04,342.33
6/9/2018,1573.73,271.99
6/10/2018,1547.02,768.14
6/11/2018,1136.38,480.63
6/12/2018,1124.11,286.97
6/13/2018,2006.92,408.94
6/14/2018,1209.06,519.54
6/15/2018,1168.39,245.19
6/16/2018,1766.75,467.38
6/17/2018,1717.12,502.96
6/18/2018,1319.75,332.31
6/19/2018,1055.43,253.13
6/20/2018,1783.21,877.98
6/21/2018,1042.3,202.68
6/22/2018,983.6,289.22
6/23/2018,1359.46,493.18
6/24/2018,1634.75,638.75
6/25/2018,948.5,267.7
6/26/2018,1072.43,385.2
6/27/2018,1885.81,844.51
6/28/2018,1203.88,123.96
6/29/2018,1111.06,251.77
6/30/2018,1492.23,463.57
7/1/2018,2122.53,942.98
7/2/2018,1173.71,644.48
7/3/2018,1316.06,359.94
7/4/2018,2326.06,509.48
7/5/2018,1230.36,166.25
7/6/2018,1423.6,267.84
7/7/2018,1641.91,264.06
7/8/2018,1806.18,572.6
7/9/2018,1266.78,216.03
7/10/2018,1265.89,150.87
7/11/2018,2257.85,866.44
7/12/2018,1264.45,235.31
7/13/2018,1370.58,367.97
7/14/2018,1614.41,819.21
7/15/2018,1912.79,472.7
7/16/2018,1150.19,224.41
7/17/2018,1438.21,214.36
7/18/2018,2018.61,773.29
7/19/2018,1339.86,400.54
7/20/2018,1280.27,261.91
7/21/2018,1612.63,711.37
7/22/2018,1828.01,754.45
7/23/2018,1362.25,408.47
7/24/2018,1652.7,1148.79
7/25/2018,2726.13,583.9
7/26/2018,1616,263.28
7/27/2018,1777.59,207.41
7/28/2018,2862.64,683.84
7/29/2018,1224.2,345.38
7/30/2018,1676.46,453.92
7/31/2018,1462.96,357.27
8/1/2018,2038.89,882.55
8/2/2018,1268.55,573.49
8/3/2018,1164.33,292.9
8/4/2018,1618.51,677.97
8/5/2018,1968.24,273.14
8/6/2018,1202.4,454.06
8/7/2018,882,99.55
8/8/2018,2012.56,526.84
8/9/2018,1366.06,218.89
8/10/2018,1626.08,304.17
8/11/2018,1827.46,548.47
8/12/2018,2174.58,720.49
8/13/2018,1455.9,211.09
8/14/2018,1458.95,320.84
8/15/2018,2236.35,461.98
8/16/2018,1613.88,398.08
8/17/2018,1269.3,144.19
8/18/2018,1600.43,279.24
8/19/2018,2245.39,330.51
8/20/2018,1296.04,281.88
8/21/2018,1227.76,444.77
8/22/2018,2401.97,774.32
8/23/2018,1392.73,306.24
8/24/2018,2092.99,462.62
8/25/2018,1870.28,297.56
8/26/2018,1778.63,379.9
8/27/2018,1318.25,216.53
8/28/2018,1197.71,250.97
8/29/2018,2245.71,1122.8
8/30/2018,1382.91,632.19
8/31/2018,1368.09,232.08
9/1/2018,1806.38,454.04
9/2/2018,1691.49,229.59
9/3/2018,1217.14,109.01
9/4/2018,1419.4,338.7
