38;8713800139710;18 Fruit Flavours 90G;ANNAM CAMBODIA COMPANY;100-015;40;2024-10-30;RETURN;G07B-C04-L3;90
39;3023470001015;20 GALETTES 130g;ANNAM CAMBODIA COMPANY;100-015;14;2024-06-23;RETURN;G06A-C06-L5;90
40;3023470010017;20 SABLES COCONUT 120g;ANNAM CAMBODIA COMPANY;100-015;7;2024-05-26;RETURN;G06A-C06-L5;90
41;8713800139208;36 Huge Flavours 70G;ANNAM CAMBODIA COMPANY;100-015;29;2024-06-13;RETURN;G07B-C04-L2;90
42;3045320089363;4 FRUITS PRESERVES 370g;ANNAM CAMBODIA COMPANY;100-015;10;2025-02-06;RETURN;G05B-C05-L3;90
43;9555491102326;5 Color Beans 18 x 500g;ANNAM CAMBODIA COMPANY;100-015;10;2024-04-30;RETURN;G01A-C07-L2;90
44;3178530402278;9 GRANDES GALETTES CARAMEL 150g;ANNAM CAMBODIA COMPANY;100-015;8;2024-04-07;RETURN;G06A-C06-L4;90
45;3178530407914;9 GRANDES GALETTES CHOCOLATE 150g;ANNAM CAMBODIA COMPANY;100-015;10;2024-05-13;RETURN;G06A-C06-L4;90
46;3178530411478;9 GRANDES GALETTES SEA SALT 150g;ANNAM CAMBODIA COMPANY;100-015;4;2024-06-16;RETURN;G06A-C06-L4;90
47;52100040813;ALFREDO CREAMY GARLIC PASTA SCE 35g;ANNAM CAMBODIA COMPANY;100-015;7;2024-11-22;RETURN;G01B-C06-L7;90
48;522121;ALLSPICE GROUND 25g;ANNAM CAMBODIA COMPANY;100-015;17;2025-08-11;RETURN;G01B-C05-L6;90
49;8722700125174;AMORA BURGER SAUCE 8 x 260g;ANNAM CAMBODIA COMPANY;100-015;7;2024-06-30;RETURN;G03A-C01-L6;90
50;8711200548033;Amora Mayonnaise Squeeze;ANNAM CAMBODIA COMPANY;100-015;5;2024-07-30;RETURN;G03A-C01-L6;90
51;3045320093209;APRICOT PRESERVES 30g;ANNAM CAMBODIA COMPANY;100-015;19;2024-10-03;RETURN;G05B-C05-L6;90
52;526961;BASIL LEAVES WHOLE 17g;ANNAM CAMBODIA COMPANY;100-015;4;2025-07-23;RETURN;G01B-C05-L4;90
53;526981;BAY LEAVES WHOLE 3g;ANNAM CAMBODIA COMPANY;100-015;2;2025-11-26;RETURN;Side Stack-L3;90
54;3258561060088;Belle France Chocolait au lait Dégustation 100g;ANNAM CAMBODIA COMPANY;100-015;24;2024-08-30;RETURN;G07B-C02-L3;90
55;3258561060040;Belle France Chocolat Noir 70% Cacao Dégustation 100g;ANNAM CAMBODIA COMPANY;100-015;17;2024-09-30;RETURN;G07B-C02-L3;90
56;4716908662214;BESSIE BYER all natural tropical with 10 juices 300ml;ANNAM CAMBODIA COMPANY;100-015;9;2024-08-17;RETURN;G05A-C06-L6;90
57;4716908664614;BESSIE BYER peach tea 360ml;ANNAM CAMBODIA COMPANY;100-015;7;2024-07-06;RETURN;G05A-C06-L6;90
58;3045320089356;BLUE BERRY PRESERVES 370g;ANNAM CAMBODIA COMPANY;100-015;12;2025-05-31;RETURN;G05B-C05-L3;90
59;3045320089318;BONNE MAMAN jam (apricot reserve) 370g;ANNAM CAMBODIA COMPANY;100-015;12;2024-04-21;RETURN;G05B-C05-L3;90
60;3045320089332;BONNE MAMAN jam (bitter orange marmalade) 370g;ANNAM CAMBODIA COMPANY;100-015;9;2025-01-31;RETURN;G05B-C05-L3;90
61;3045320089349;BONNE MAMAN jam (raspberry reserve) 370g;ANNAM CAMBODIA COMPANY;100-015;6;2024-06-23;RETURN;G05B-C05-L3;90
62;3045320089295;BONNE MAMAN jam (red cherry) 370g;ANNAM CAMBODIA COMPANY;100-015;8;2024-11-02;RETURN;G05B-C05-L3;90
63;4976515002449;Brown Rice and Green Tea 2g;ANNAM CAMBODIA COMPANY;100-015;13;2024-08-21;RETURN;G05B-C01-L3;90
64;52100037806;CHICKEN GRAVY MIX  .87 OZ 24g;ANNAM CAMBODIA COMPANY;100-015;3;2024-07-22;RETURN;G01B-C06-L7;90
65;8935134594021;CHILLI STUFFED OLIVES LATINO BELLA 235g;ANNAM CAMBODIA COMPANY;100-015;17;2024-10-04;RETURN;G02B-C04-L2;90
66;11210607033;CHIPOTLE PEPPER SAUCE 600ml;ANNAM CAMBODIA COMPANY;100-015;6;2025-01-03;RETURN;G02A-C03-L4;90
67;524441;CINNAMON SUGAR 102g;ANNAM CAMBODIA COMPANY;100-015;1;2025-02-21;RETURN;G01B-C05-L5;90
68;8000320030109;CIRIO canned beans (borlotti) 410g;ANNAM CAMBODIA COMPANY;100-015;19;2026-12-31;RETURN;G02B-C06-L2;90
69;8000320030116;Cirio Cannellini Beans 400g;ANNAM CAMBODIA COMPANY;100-015;14;2026-12-31;RETURN;G02B-C06-L2;90
70;8000320030093;Cirio Ceci Chick Peas 400g;ANNAM CAMBODIA COMPANY;100-015;19;2026-12-31;RETURN;G02B-C06-L2;90
71;8000320010026;Cirio I Pelati 400g;ANNAM CAMBODIA COMPANY;100-015;24;2025-12-31;RETURN;G02B-C06-L1;90
