1568;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-07-27;RETURN;N13B-C02-L1;90
1569;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;12;2024-07-27;RETURN;N13B-C02-L1;90
1570;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-10-27;RETURN;N13B-C03-L1;90
1571;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-10-27;RETURN;N13B-C02-L1;90
1572;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-11-09;RETURN;N13B-C02-L1;90
1573;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-11-09;RETURN;N13B-C03-L1;90
1574;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-12-09;RETURN;N13B-C03-L1;90
1575;686352802723;BABY BITES rice rusks (carrot flavoured 6+ months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-12-09;RETURN;N13B-C02-L1;90
1576;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-04-11;RETURN;N13B-C01-L1;90
1577;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-04-11;RETURN;N13B-C01-L1;90
1578;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-06-26;RETURN;N13B-C01-L1;90
1579;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-06-26;RETURN;N13B-C01-L1;90
1580;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-08-05;RETURN;N13B-C01-L1;90
1581;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-10-27;RETURN;N13B-C01-L1;90
1582;686352802655;BABY BITES rice rusks (vegetables flavoured 6+months) 50g;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-12-10;RETURN;N13B-C01-L1;90
1583;686352600138;BABY BITES SWEET POTATO & CARROT 50G;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-08-05;RETURN;N13B-C03-L1;90
1584;686352600138;BABY BITES SWEET POTATO & CARROT 50G;GOODHILL CO., LTD (VAT) (FOOD);100-135;3;2024-11-21;RETURN;N13B-C03-L1;90
1585;78895760026;Black Bean Garlic Sauce;GOODHILL CO., LTD (VAT) (FOOD);100-135;3;2025-03-31;RETURN;G02A-C03-L5;90
1586;78895740035;Char Siu Sauce;GOODHILL CO., LTD (VAT) (FOOD);100-135;8;2026-04-26;RETURN;G02A-C03-L5;90
1587;78895770025;Chili Garlic Sauce;GOODHILL CO., LTD (VAT) (FOOD);100-135;12;2026-08-15;RETURN;G02A-C03-L5;90
1588;8000500009673;Ferrero Rocher 24pcs 300g;GOODHILL CO., LTD (VAT) (FOOD);100-135;26;2024-05-30;RETURN;G07B-C00-L1;90
1589;80135906;Ferrero Rocher 5pcs;GOODHILL CO., LTD (VAT) (FOOD);100-135;23;2024-05-16;RETURN;G07B-C01-L4;90
1590;8000500003787;FERRERO ROCHER chocolate candy 200g;GOODHILL CO., LTD (VAT) (FOOD);100-135;26;2024-05-09;RETURN;G07B-C01-L3;90
1591;8000500010709;FERRERO Rocher hazelnut chocolate 37.5g;GOODHILL CO., LTD (VAT) (FOOD);100-135;110;2024-05-02;RETURN;G07B-C01-L7;90
1592;78895700022;Hoisin Sauce;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2026-05-29;RETURN;G02A-C03-L5;90
1593;9556121020003;Julie's Assorties;GOODHILL CO., LTD (VAT) (FOOD);100-135;3;2024-10-01;RETURN;G06A-C02-L5;90
1594;9556121024025;Julie's Cheese Sandwich;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-06-01;RETURN;G06B-C08-L3;90
1595;9556121027163;Julie's Cheese Sandwich;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-04-01;RETURN;G06B-C03-L5;90
1596;9556121020188;Julie's Cocoro Vanilla;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-07-01;RETURN;G06A-C03-L6;90
1597;9556121025213;Julie's Doremi Assorted 533g;GOODHILL CO., LTD (VAT) (FOOD);#N/A;29;2024-09-01;RETURN;G06B-C01-L2;90
1598;9556121030736;Julie's Lifestyle Assorted 530g;GOODHILL CO., LTD (VAT) (FOOD);#N/A;25;2024-10-01;RETURN;G06B-C01-L5;90
1599;9556121027606;Julie's OAT 25 Chocolate;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-10-01;RETURN;G06B-C08-L3;90
1600;9556121026111;Julie's OAT 25 Strawberry;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-10-01;RETURN;G06B-C08-L3;90
1601;9556121027156;Julie's Peanut Butter Sandwich;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-04-01;RETURN;G06B-C03-L5;90
1602;8000500066027;Kinder Bueno Milk Chocolate 43g;GOODHILL CO., LTD (VAT) (FOOD);100-135;211;2024-07-01;RETURN;G07B-C02-L5;90
1603;8852008303926;Koala's March Halloweens 37g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-11-03;RETURN;G06A-C03-L4;90
1604;8852008305371;Koala's March Regular Christmas 37g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-12-16;RETURN;G06A-C03-L4;90
1605;8852008304879;KOALA'S MARCH WHITE CHOCOLATE 33G;GOODHILL CO., LTD (VAT) (FOOD);100-135;9;2025-01-28;RETURN;G06A-C03-L4;90
1606;8850718809028;Lay Nori Seaweed Flavour 158G;GOODHILL CO., LTD (VAT) (FOOD);100-135;15;2024-05-24;RETURN;G07A-C06-L2;90
1607;8936079123680;Lay's Brazil BBQ Pork Rib 43gm;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-07-28;RETURN;G07A-C04-L3;90
1608;8850718809011;Lays Classic Sallt Flavor 158g;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-05-08;RETURN;G07A-C06-L2;90
1609;8850718809035;Lays Extra BBQ Flavor 158g;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-04-30;RETURN;G07A-C06-L2;90
1610;8936079122904;Lay's Wavy Texas Tenderloin Steak Flavor 48gm;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2024-06-27;RETURN;G07A-C04-L3;90
1611;78895310030;LEE KUM KEE cooking oyster sauce (choy sun flavoured) 907g;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2025-04-08;RETURN;G02A-C07-L2;90
1612;78895310023;LEE KUM KEE cooking oyster sauce (choy sun) 510g;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-11-30;RETURN;G02A-C07-L1;90
1613;78895300024;LEE KUM KEE cooking oyster sauce (panda brand) 510g;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2026-06-09;RETURN;G02A-C07-L6;90
1614;78895300031;LEE KUM KEE cooking oyster sauce (panda brand) 907g;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2026-05-22;RETURN;G02A-C07-L2;90
1615;78895100020;LEE KUM KEE cooking oyster sauce (premium brand) 510g;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2026-05-24;RETURN;G02A-C07-L1;90
1616;78895300017;LEE KUM KEE oyster sauce (panda brand) 255g;GOODHILL CO., LTD (VAT) (FOOD);100-135;5;2024-12-07;RETURN;G02A-C07-L5;90
1617;78895100013;LEE KUM KEE oyster sauce (premium brand) 255g;GOODHILL CO., LTD (VAT) (FOOD);100-135;11;2024-10-01;RETURN;G02A-C07-L5;90
1618;78895423037;LEE KUN KEE soy sauce (for steamed fish&seafood) 410ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;23;2024-09-13;RETURN;G02A-C05-L3;90
1619;8852008510072;LOTTE toppo vanilla flavoured pretzel stick with chocolate filling 11g;GOODHILL CO., LTD (VAT) (FOOD);100-135;27;2024-11-22;RETURN;G06A-C03-L4;90
1620;8853333000023;Malee Apple Juice 100% 1000ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-05-05;RETURN;G05A-C08-L2;90
1621;8853333000078;Malee Carrot Mixed Juice 100% 1000ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;8;2024-04-10;RETURN;G05A-C08-L2;90
1622;8853333013597;MALEE fruit juice (berry mixed) 1000ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-09-22;RETURN;G05A-C08-L3;90
1623;8853333010046;Malee Mandarin Orange Juice 100% 200ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;15;2024-10-24;RETURN;G05A-C08-L5;90
1624;8853333010053;Malee Tangerine Orange Juice 100% 200ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;15;2024-08-24;RETURN;G05A-C08-L5;90
1625;8853333017984;Malee UHT 1000ml-Cherry Juice;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-05-10;RETURN;G05A-C08-L4;90
1626;8935001707387;Mentos Berry Lim Mint Pocket Bottle 29.7G;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-06-27;RETURN;G07B-C03-L6;90
1627;8935001721925;Mentos Fresh lime mint Bottle;GOODHILL CO., LTD (VAT) (FOOD);100-135;4;2024-10-14;RETURN;G07B-C03-L6;90
1628;8935001708988;Mentos Fresh Mint Pocket Bottle;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-10-07;RETURN;G07B-C03-L6;90
1629;8935001707172;Mentos Fruit;GOODHILL CO., LTD (VAT) (FOOD);100-135;71;2025-09-16;RETURN;G07B-C04-L4;90
1630;8935001712282;Mentos Peppermint Tin;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-11-08;RETURN;G07B-C04-L6;90
1631;8935001711483;Mentos Ranbow;GOODHILL CO., LTD (VAT) (FOOD);100-135;105;2025-08-25;RETURN;G07B-C04-L4;90
1632;8935001712305;Mentos Spearmint Tin;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-11-17;RETURN;G07B-C04-L6;90
1633;8935001726548;Mentos Watermelon;GOODHILL CO., LTD (VAT) (FOOD);100-135;22;2024-12-23;RETURN;G07B-C03-L6;90
1634;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-04-02;RETURN;N13B-C03-L5;90
1635;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-04-02;RETURN;N13B-C03-L5;90
1636;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-07-12;RETURN;N13B-C03-L5;90
1637;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-07-12;RETURN;N13B-C03-L5;90
1638;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;21;2024-11-04;RETURN;N13B-C03-L5;90
1639;686352600473;MUM MUM MANGO & KIWI 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2024-12-25;RETURN;N13B-C03-L5;90
1640;686352808640;MUM MUM STRAWBERRY 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-04-04;RETURN;N13B-C03-L5;90
1641;686352808640;MUM MUM STRAWBERRY 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-04-04;RETURN;N13B-C03-L4;90
1642;686352808640;MUM MUM STRAWBERRY 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;3;2024-10-17;RETURN;N13B-C03-L4;90
1643;686352808640;MUM MUM STRAWBERRY 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;1;2024-11-16;RETURN;N13B-C03-L4;90
1644;686352600480;MUM MUM SWEET POTATO & POMEGRANATE 60G;GOODHILL CO., LTD (VAT) (FOOD);100-015;2;2024-07-12;RETURN;N13B-C03-L5;90
1645;686352600480;MUM MUM SWEET POTATO & POMEGRANATE 60G;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-07-12;RETURN;N13B-C03-L4;90
1646;8850718805389;Sunbites BBQ 56g;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-04-02;RETURN;G07A-C06-L5;90
1647;8850718805365;Sunbites Original 56g;GOODHILL CO., LTD (VAT) (FOOD);100-135;2;2024-04-02;RETURN;G07A-C06-L5;90
1648;8888232106408;TAI HUA cooking oil (100% pure seasame oil) 650ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2025-05-19;RETURN;G02A-C08-L1;90
1649;8888232106507;TAI HUA cooking oil (blended seasame oil) 650ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2024-06-27;RETURN;G02A-C08-L1;90
1650;8888232061745;TAI HUA cooking oyster flavoured sauce (shiitake mushroom vegeterian) 430ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;20;2024-11-05;RETURN;G02A-C07-L2;90
1651;8888232061547;TAI HUA cooking sauce (premium oyster sauce) 430ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;7;2024-10-27;RETURN;G02A-C07-L2;90
1652;8888232016073;TAI HUA soy sauce (dark soy sauce natural brewed) 640ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;8;2025-08-09;RETURN;G02A-C05-L1;90
1653;8888232016080;TAI HUA soy sauce (light natural brewed) 640ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;25;2025-10-21;RETURN;G02A-C05-L1;90
1654;8888232016110;TAI HUA soy sauce (premium dark natural brewed) 640ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;13;2025-02-16;RETURN;G02A-C05-L1;90
1655;8888232016127;TAI HUA soy sauce (premium light natural brewed) 640ml;GOODHILL CO., LTD (VAT) (FOOD);100-135;6;2025-07-04;RETURN;G02A-C05-L1;90
1656;4710144802380;Want Want Shelly Senbei;GOODHILL CO., LTD (VAT) (FOOD);100-135;10;2024-07-30;RETURN;G06B-C05-L5;90
1657;6863526031460;Want Want Snow Rice Cracker;GOODHILL CO., LTD (VAT) (FOOD);100-135;8;2024-10-24;RETURN;G06B-C06-L1;90
1658;8852008610888;Xylitol Blueberry (Bottle);GOODHILL CO., LTD (VAT) (FOOD);100-135;5;2024-12-21;RETURN;G07B-C04-L7;90
1659;8852008610055;Xylitol Fresh Mint 17x11g;GOODHILL CO., LTD (VAT) (FOOD);100-135;22;2024-10-25;RETURN;G07B-C04-L5;90
1660;8852008000115;Xylitol Mini Bottle Fresh Mint;GOODHILL CO., LTD (VAT) (FOOD);100-135;3;2025-01-26;RETURN;G07B-C03-L6;90
1661;9556076012689;AMBI PUR air refreshing gel (refreshing lemon) 180g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2025-04-07;RETURN;N16B-C03-LV4;90
1662;9556076012672;AMBI PUR air refreshing gel (relaxing lavender) 180g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2025-07-08;RETURN;N16B-C03-LV4;90
1663;9556076012665;AMBI PUR air refreshing gel (romantic rose) 180g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2025-06-23;RETURN;N16B-C03-LV4;90
1664;4902430633079;Ambi Pur Gel Relaxing Mood Therapy Collection Relax Unwind 180g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2025-03-02;RETURN;N16B-C03-LV4;90
1665;4902430844673;AMBI PUR LEMON GLASS 180G;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2025-07-21;RETURN;N16B-C03-LV4;90
1666;8935001723684;Ch Ch Classic Best of Bag 25pcs;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2024-12-04;RETURN;G07B-C06-L7;90
1667;8410031939866;Ch Ch Classic Mixed 1Wheel 11gm;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;797;2024-12-12;RETURN;G07B-C05-L7;90
1668;8410031132519;Chupa Chup Best of Bag;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;2;2025-02-16;RETURN;G07B-C06-L7;90
1669;8410031996852;Chupa Chup Fruit Bag 11g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;7;2025-01-01;RETURN;G07B-C06-L7;90
1670;8935001723691;Chupa Chups Tongue Painter Bag 25pcs;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;7;2025-01-10;RETURN;G07B-C06-L7;90
1671;8935001710332;Chupa Chups Tongue Painter Jar 11g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2025-01-09;RETURN;G07B-C05-L7;90
1672;4891338003582;DARLIE 50G ORAL CARE TRAVEL KIT 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2026-01-29;RETURN;N12B-C08-L4;90
1673;4891338003582;DARLIE 50G ORAL CARE TRAVEL KIT 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;20;2026-04-02;RETURN;N12B-C08-L4;90
1674;4891338033268;DARLIE DOUBLE ACTION TWIN VALUE PACK 24x225g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;4;2026-07-25;RETURN;N12B-C06-L3;90
1675;4891338003193;DARLIE kids toothpaste (orange flavour) 40g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;32;2025-08-13;RETURN;N13A-C06-L2;90
1676;4891338003186;DARLIE kids toothpaste (strawberry flavour) 40g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;10;2026-05-16;RETURN;N13A-C06-L2;90
1677;4891338041829;DARLIE toothpaste (double action mint essence) 140g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2026-09-06;RETURN;N12B-C06-L5;90
1678;4891338035736;DARLIE toothpaste (salt herbal protect) 140g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2026-07-28;RETURN;N12B-C06-L6;90
1679;4891338040907;Darlie120g-ZestyFreshLemon;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;4;2025-11-15;RETURN;N12B-C06-L5;90
1680;4891338040914;Darlie120g-ZestyFreshPeach;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;13;2025-08-30;RETURN;N12B-C06-L5;90
1681;4891338038348;Darlie140g-AllShinyWhiteBakingSoda;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;18;2026-09-07;RETURN;N12B-C06-L6;90
1682;4891338044592;Darlie140g-AllSWLimeMint+Darlie40g-BKSODA;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;20;2026-06-10;RETURN;N12B-C06-L3;90
1683;4891338045049;Darlie225g-DoubleAction+DarlieSaltFresh35g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;11;2026-06-24;RETURN;N12B-C06-L3;90
1684;4891338045049;Darlie225g-DoubleAction+DarlieSaltFresh35g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;11;2026-07-02;RETURN;N12B-C06-L3;90
1685;4902430693363;DOWNY FBEN LIQ DARING 1800ML;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2027-09-30;RETURN;N17B-C02-LV4;90
1686;4902430650427;Dynamo 2.6Kgx4 - Downy;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2027-10-07;RETURN;N17B-C04-LV2;90
1687;47400247307;Gillette Foam Menthol 175g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;5;2025-12-30;RETURN;NCHA-C05-L2;90
1688;47400247307;Gillette Foam Menthol 175g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;17;2026-01-30;RETURN;NCHA-C05-L2;90
1689;4902430430999;HEAD&SHOULDERS SMOOTH&SILKY SHAMPOO 480ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2025-05-06;RETURN;N11B-C04-L3;90
1690;78895941593;LKK BLACK PEPPER SAUCE 230G;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;5;2024-12-12;RETURN;G02A-C01-L6;90
1691;78895939552;LKK CHU HOU PASTE 240G;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2024-12-15;RETURN;G02A-C01-L6;90
1692;78895741018;LKK SPARE RIB 240G;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2025-08-28;RETURN;G02A-C01-L6;90
1693;8935001721697;Mentos Fruit Bag  50pcs;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;14;2025-08-19;RETURN;G07B-C07-L5;90
1694;8935001722298;Mentos Strawberry Mix Bag 50pcs;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;21;2025-09-19;RETURN;G07B-C07-L5;90
1695;4902430359863;OLAY cream cleanser (anti-ageing) 100g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2025-04-30;RETURN;N08B-C02-L3;90
1696;4902430208093;OLAY cream face wash (regenerist advaned anti-ageing) 100g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2025-01-25;RETURN;N08B-C02-L3;90
1697;4902430208093;OLAY cream face wash (regenerist advaned anti-ageing) 100g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2025-08-31;RETURN;N08B-C02-L3;90
1698;4902430749756;OLAY day cream (light all in one faimess UV protection) 7.5g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;99;2024-07-30;RETURN;N09B-C01-L1;90
1699;4902430749756;OLAY day cream (light all in one faimess UV protection) 7.5g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;131;2024-07-30;RETURN;N09B-C01-L1;90
1700;4902430360906;OLAY day's facial cream (total effects 7in1 normal SPF15) 20g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;12;2026-04-30;RETURN;N08B-C02-L6;90
1701;4902430360111;OLAY face cream (total effects 7in1 day cream) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2025-11-30;RETURN;N08B-C02-L6;90
1702;4902430360111;OLAY face cream (total effects 7in1 day cream) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2026-02-28;RETURN;N08B-C02-L6;90
1703;4902430360111;OLAY face cream (total effects 7in1 day cream) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;13;2026-03-31;RETURN;N08B-C02-L6;90
1704;4902430360111;OLAY face cream (total effects 7in1 day cream) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;10;2026-07-31;RETURN;N08B-C02-L6;90
1705;4902430734950;OLAY facial cream (most advanced anti-ageing moisturiser) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;2;2024-08-31;RETURN;N08B-C02-L6;90
1706;4902430734950;OLAY facial cream (most advanced anti-ageing moisturiser) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2024-11-30;RETURN;N08B-C02-L6;90
1707;4902430735025;Olay Moisturiser Night 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2026-05-31;RETURN;N08B-C02-L6;90
1708;4902430735025;Olay Moisturiser Night 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2026-07-31;RETURN;N08B-C02-L6;90
1709;4902430735148;OLAY night cream (total effects 7in1 virtamin enriched & radiant skin) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;18;2026-02-28;RETURN;N08B-C02-L6;90
1710;4902430733830;OLAY night cream (white radiance light protecting moisturiser) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;18;2024-10-31;RETURN;N08B-C02-L6;90
1711;4902430188913;OLAY revitalising hydration cream (moisturiser daytime) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;6;2028-05-12;RETURN;N08B-C02-L6;90
1712;4902430046046;OLAY uv whitening lotion (white radiance SPF19) 30ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;1;2025-04-30;RETURN;N08B-C01-L2;90
1713;4902430046046;OLAY uv whitening lotion (white radiance SPF19) 30ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2025-06-30;RETURN;N08B-C01-L2;90
1714;4902430046046;OLAY uv whitening lotion (white radiance SPF19) 30ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;8;2026-05-31;RETURN;N08B-C01-L2;90
1715;4902430284134;OLAY whitening cream (natural white light UV protection) 20g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2025-10-17;RETURN;N08B-C02-L5;90
1716;4902430374231;OLAY whitening​ day cream (UV protection reduces the look of dark spot) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;2;2026-01-31;RETURN;N08B-C02-L5;90
1717;4902430374231;OLAY whitening​ day cream (UV protection reduces the look of dark spot) 50g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;14;2026-08-30;RETURN;N08B-C02-L5;90
1718;4902430408097;OlayJulibeeNAPinkishFaceCreamSHNE3TH-7.5g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;115;2024-07-30;RETURN;N09B-C01-L1;90
1719;4902430408097;OlayJulibeeNAPinkishFaceCreamSHNE3TH-7.5g;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;108;2024-07-30;RETURN;N09B-C01-L1;90
1720;4902430142571;OlayJulibeeTotalWhite8gm;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;95;2024-07-30;RETURN;N09B-C01-L1;90
1721;4902430142571;OlayJulibeeTotalWhite8gm;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;126;2024-07-30;RETURN;N09B-C01-L1;90
1722;4902430401043;PANTENE CONDITIONER FULLNESS & LIFE 335ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;13;2026-06-30;RETURN;N11B-C04-L6;90
1723;4902430401005;PANTENE shine shampoo (pro-v fullness & life) 340ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;10;2026-04-30;RETURN;N11B-C04-L6;90
1724;4902430452564;Rejoice Rich Soft Smooth Conditioner 320ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;2;2025-01-27;RETURN;N11B-C03-L3;90
1725;4902430452564;Rejoice Rich Soft Smooth Conditioner 320ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;5;2026-08-08;RETURN;N11B-C03-L3;90
1726;4902430450355;Rejoice Rich Soft Smooth Shampoo 340ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;3;2026-03-14;RETURN;N11B-C03-L3;90
1727;4902430450355;Rejoice Rich Soft Smooth Shampoo 340ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;7;2026-09-14;RETURN;N11B-C03-L3;90
1728;4902430432375;Rejoice Soft & Smooth Shampoo 600ml;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;2;2026-10-06;RETURN;N11B-C03-L3;90
1729;4902430862578;RJ​Freya340ml-LuminousRose;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;9;2026-06-26;RETURN;N11B-C03-L6;90
1730;4902430450379;RJMelati320ml-3in1;GOODHILL CO., LTD (VAT) (SHAMPOO);100-010;10;2026-03-01;RETURN;N11B-C03-L6;90
